Liste des mots et leur découpe syllabique (Lexique 4 / syllabation orale → orthographe)
==================================================

abricot	a-bri-cot
plonger	plon-ger
porter	por-ter
pousser	pou-sser
prendre	prendre
regarder	re-gar-der
rire	rire
rouler	rou-ler
sauter	sau-ter
sentir	sentir
skier	skier
sourire	sourire
tenir	tenir
tirer	ti-rer
tomber	tom-ber
toucher	tou-cher
trouver	trou-ver
voir	voir
voler	vo-ler
basket	bas-ket
bonnet	bon-net
botté	bo-tté
bouton	bou-ton
casquette	casquette
ceinture	ceinture
chapeau	cha-peau
chaussette	chau-ssette
chaussure	chaussure
chemisé	chem-isé
cravaté	cra-va-té
culotte	cu-lotte
écharpé	é-cha-rpé
fermeture	fer-me-ture
gant	gant
gilet	gi-let
jupe	jupe
maillot de bain	mai-llot de bain
manteau	man-teau
pantalon	pant-alon
pantoufle	pan-toufle
poché	po-ché
pull	pull
pyjama	py-ja-ma
robe	robe
sandale	sandale
short	short
slip	slip
t-shirt	tshirt
veste	veste

Total: 705 mots
